district,crop,quantity(MT)
Ariyalur,Ash Gourd,0.02
Ariyalur,Beans,0
Ariyalur,Bengalgram,0
Ariyalur,Bhendi,1.56
Ariyalur,Bitter Gourd,0.04
Ariyalur,Blackgram,3.16
Ariyalur,Blockgram,0.5
Ariyalur,Bottlegourd,0
Ariyalur,Brinjal,0
Ariyalur,Caster,0.02
Ariyalur,Chillies,1.14
Ariyalur,Clusterbeans,0.08
Ariyalur,Cotton,3.86
Ariyalur,Cowpea,0.03
Ariyalur,Cowpea.1,0.01
Ariyalur,Cumbu,5.91
Ariyalur,Dolichos,0
Ariyalur,Greengram,0.01
Ariyalur,Greens,0
Ariyalur,Groundnut,8.31
Ariyalur,Horsegram,0.02
Ariyalur,Maize,66.64
Ariyalur,Melon,0
Ariyalur,Moringa,0
Ariyalur,Onion,0
Ariyalur,Other Vegetables,0
Ariyalur,Paddy,100.16
Ariyalur,Palak,0
Ariyalur,Papaya,0
Ariyalur,Pumpkin,0.86
Ariyalur,Radish,0.23
Ariyalur,Ragi,1.6
Ariyalur,Redgram,0
Ariyalur,Ridgegourd,0.56
Ariyalur,Samai,0
Ariyalur,Sesamum,1.84
Ariyalur,Snake Gourd,0.02
Ariyalur,Sorghum,2.7
Ariyalur,Sorghum Sudan Grass,2.02
Ariyalur,Sunflower,0.12
Ariyalur,Sweet Corn,0.26
Ariyalur,Sweet Sorghum,0
Ariyalur,Tomato,0.03
Ariyalur,Turnip,0.01
Ariyalur,Unnamed: 69,0
Ariyalur,Vegetable Cowpea,0.04
Ariyalur,Water Melon,0.05
Chennai,Ash Gourd,0.04
Chennai,Beans,0.05
Chennai,Beetroot,0.01
Chennai,Bhendi,0.37
Chennai,Bitter Gourd,0.07
Chennai,Bottlegourd,0.03
Chennai,Brinjal,0.02
Chennai,Carrot,0
Chennai,Cauliflower,0
Chennai,Chillies,0.01
Chennai,Clusterbeans,0.31
Chennai,Coriander,1.17
Chennai,Cotton,0
Chennai,Cowpea,0.06
Chennai,Cowpea.1,0.03
Chennai,Cucumber,0.01
Chennai,Dolichos,0
Chennai,Greengram,0
Chennai,Greens,1.14
Chennai,Knol Khol,0
Chennai,Maize,0
Chennai,Moringa,0.02
Chennai,Onion,0
Chennai,Paddy,0
Chennai,Palak,1.02
Chennai,Pole Beans,0
Chennai,Pumpkin,0.03
Chennai,Radish,0.01
Chennai,Redgram,0
Chennai,Ridgegourd,0.01
Chennai,Snake Gourd,0.05
Chennai,Sorghum Sudan Grass,0.05
Chennai,Tomato,0
Chennai,Vegetable Cowpea,0.01
Chennai,Water Melon,0.04
Chennai,Yard Long Beans,0.04
Coimbatore,Ash Gourd,0.07
Coimbatore,Beans,8.18
Coimbatore,Beetroot,5.56
Coimbatore,Bengalgram,9.81
Coimbatore,Bhendi,10.73
Coimbatore,Bitter Gourd,1.1
Coimbatore,Blackgram,3.37
Coimbatore,Blockgram,0.14
Coimbatore,Bottlegourd,1.56
Coimbatore,Brinjal,2.04
Coimbatore,Brocoli,0
Coimbatore,Bush Beans,0
Coimbatore,Cabbage,0.01
Coimbatore,Capsicum,0.02
Coimbatore,Carrot,0.27
Coimbatore,Caster,0
Coimbatore,Cauliflower,0.97
Coimbatore,Chillies,0.86
Coimbatore,Clusterbeans,0.38
Coimbatore,Coconut,59.33
Coimbatore,Coriander,11.14
Coimbatore,Cotton,6.97
Coimbatore,Cowpea,2.05
Coimbatore,Cowpea.1,1.91
Coimbatore,Cucumber,0.08
Coimbatore,Cumbu,1.43
Coimbatore,Dolichos,0.89
Coimbatore,Greengram,1.2
Coimbatore,Greens,0.18
Coimbatore,Groundnut,0.94
Coimbatore,Horsegram,0.8
Coimbatore,Hot Pepper,0.32
Coimbatore,Knol Khol,0
Coimbatore,Kuthiraivali,0
Coimbatore,Maize,86.03
Coimbatore,Melon,0.1
Coimbatore,Moringa,0
Coimbatore,Onion,0.13
Coimbatore,Other Vegetables,0.8
Coimbatore,Paddy,145.36
Coimbatore,Palak,4.04
Coimbatore,Papaya,0
Coimbatore,Peas,0
Coimbatore,Pole Beans,0
Coimbatore,Pumpkin,1.25
Coimbatore,Radish,2.95
Coimbatore,Redgram,1.15
Coimbatore,Ribbed Gourd,0.01
