district,crop,variety,seed_class,quantity,quantity_unit,source_date
Ariyalur,To be joined,ADT (R) 45,Not specified,4.23,MT,2026-09-16
Chennai,To be joined,ADT (R) 45,Not specified,0.0,MT,2026-09-16
Coimbatore,To be joined,ADT (R) 45,Not specified,0.6,MT,2026-09-16
Cuddalore,To be joined,ADT (R) 45,Not specified,8.49,MT,2026-09-16
Dharmapuri,To be joined,ADT (R) 45,Not specified,1.05,MT,2026-09-16
Dindigul,To be joined,ADT (R) 45,Not specified,0.0,MT,2026-09-16
Erode,To be joined,ADT (R) 45,Not specified,28.92,MT,2026-09-16
Kancheepuram,To be joined,ADT (R) 45,Not specified,86.78,MT,2026-09-16
Karur,To be joined,ADT (R) 45,Not specified,0.0,MT,2026-09-16
Krishnagiri,To be joined,ADT (R) 45,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,ADT (R) 45,Not specified,31.72,MT,2026-09-16
Nagapattinam,To be joined,ADT (R) 45,Not specified,133.09,MT,2026-09-16
Namakkal,To be joined,ADT (R) 45,Not specified,13.6,MT,2026-09-16
Perambalur,To be joined,ADT (R) 45,Not specified,2.02,MT,2026-09-16
Pudukkottai,To be joined,ADT (R) 45,Not specified,1.35,MT,2026-09-16
Ramanathapuram,To be joined,ADT (R) 45,Not specified,0.0,MT,2026-09-16
Salem,To be joined,ADT (R) 45,Not specified,27.99,MT,2026-09-16
Sivagangai,To be joined,ADT (R) 45,Not specified,1.08,MT,2026-09-16
Thanjavur,To be joined,ADT (R) 45,Not specified,121.68,MT,2026-09-16
Theni,To be joined,ADT (R) 45,Not specified,2.91,MT,2026-09-16
Thirunelveli,To be joined,ADT (R) 45,Not specified,34.85,MT,2026-09-16
Thiruvallur,To be joined,ADT (R) 45,Not specified,1.08,MT,2026-09-16
Thiruvarur,To be joined,ADT (R) 45,Not specified,103.06,MT,2026-09-16
Thoothukudi,To be joined,ADT (R) 45,Not specified,0.81,MT,2026-09-16
Tiruppur,To be joined,ADT (R) 45,Not specified,924.89,MT,2026-09-16
Tiruvannamalai,To be joined,ADT (R) 45,Not specified,64.26,MT,2026-09-16
Trichy,To be joined,ADT (R) 45,Not specified,15.74,MT,2026-09-16
Vellore,To be joined,ADT (R) 45,Not specified,7.56,MT,2026-09-16
Villupuram,To be joined,ADT (R) 45,Not specified,32.28,MT,2026-09-16
Virudhunagar,To be joined,ADT (R) 45,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,ADT (R) 46,Not specified,4.2,MT,2026-09-16
Cuddalore,To be joined,ADT (R) 46,Not specified,0.3,MT,2026-09-16
Kancheepuram,To be joined,ADT (R) 46,Not specified,3.14,MT,2026-09-16
Nagapattinam,To be joined,ADT (R) 46,Not specified,55.35,MT,2026-09-16
Namakkal,To be joined,ADT (R) 46,Not specified,0.0,MT,2026-09-16
Ramanathapuram,To be joined,ADT (R) 46,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,ADT (R) 46,Not specified,14.76,MT,2026-09-16
Thiruvarur,To be joined,ADT (R) 46,Not specified,81.07,MT,2026-09-16
Thoothukudi,To be joined,ADT (R) 46,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,ADT (R) 46,Not specified,3.52,MT,2026-09-16
Tiruvannamalai,To be joined,ADT (R) 46,Not specified,0.0,MT,2026-09-16
Trichy,To be joined,ADT (R) 46,Not specified,0.0,MT,2026-09-16
Virudhunagar,To be joined,ADT (R) 46,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,ADT (R) 48,Not specified,0.0,MT,2026-09-16
Coimbatore,To be joined,ADT (R) 48,Not specified,0.0,MT,2026-09-16
Kancheepuram,To be joined,ADT (R) 48,Not specified,0.0,MT,2026-09-16
Karur,To be joined,ADT (R) 48,Not specified,0.0,MT,2026-09-16
Nagapattinam,To be joined,ADT (R) 48,Not specified,0.0,MT,2026-09-16
Namakkal,To be joined,ADT (R) 48,Not specified,0.0,MT,2026-09-16
Salem,To be joined,ADT (R) 48,Not specified,0.01,MT,2026-09-16
